Project;Version;DUAcov
Closure;100b; 69.64
Closure;101b; 69.13
Closure;102b; 69.0
Closure;103b; 68.99
Closure;104b; 68.97
Closure;105b; 69.54
Closure;106b; 59.22
Closure;107b; 74.1
Closure;108b; 74.09
Closure;109b; 74.2
Closure;10b; 76.48
Closure;110b; 73.94
Closure;111b; 79.16
Closure;112b; 79.15
Closure;113b; 79.15
Closure;114b; 79.15
Closure;115b; 79.14
Closure;116b; 79.15
Closure;117b; 79.07
Closure;118b; 79.08
Closure;119b; 79.08
Closure;11b; 76.51
Closure;120b; 79.07
Closure;121b; 79.06
Closure;122b; 79.06
Closure;123b; 79.2
Closure;124b; 79.21
Closure;125b; 79.23
Closure;126b; 79.89
Closure;127b; 79.89
Closure;128b; 79.91
Closure;129b; 79.91
Closure;12b; 76.4
Closure;130b; 79.37
Closure;131b; 79.37
Closure;132b; 79.36
Closure;133b; 77.36
Closure;134b; 69.59
Closure;135b; 69.51
Closure;136b; 69.02
Closure;137b;
Closure;138b; 68.99
Closure;139b; 69.09
Closure;13b; 76.37
Closure;140b; 69.11
Closure;141b; 69.15
Closure;142b; 69.03
Closure;143b;
Closure;144b; 69.86
Closure;145b; 69.91
Closure;146b; 69.59
Closure;147b; 69.47
Closure;148b; 69.32
Closure;149b; 69.19
Closure;14b; 76.37
Closure;150b; 70.47
Closure;151b; 70.26
Closure;152b; 68.28
Closure;153b; 68.18
Closure;154b; 70.96
Closure;155b; 70.9
Closure;156b; 70.9
Closure;157b; 69.54
Closure;158b; 69.59
Closure;159b; 69.78
Closure;15b; 76.39
Closure;160b; 70.55
Closure;161b; 69.43
Closure;162b; 69.32
Closure;163b; 75.85
Closure;164b; 76.6
Closure;165b; 76.26
Closure;166b; 76.36
Closure;167b; 76.4
Closure;168b; 76.4
Closure;169b; 76.58
Closure;16b; 76.39
Closure;170b; 79.94
Closure;171b; 79.0
Closure;172b; 79.06
Closure;173b; 79.03
Closure;174b; 79.14
Closure;175b; 74.2
Closure;176b; 74.1
Closure;17b; 76.39
Closure;18b; 76.39
Closure;19b; 76.39
Closure;1b; 76.89
Closure;20b; 76.37
Closure;21b; 76.37
Closure;22b; 76.36
Closure;23b; 76.28
Closure;24b; 76.26
Closure;25b; 76.26
Closure;26b; 76.25
Closure;27b; 76.28
Closure;28b; 76.27
Closure;29b; 76.27
Closure;2b; 76.86
Closure;30b; 76.22
Closure;31b; 76.2
Closure;32b; 76.2
Closure;33b; 76.19
Closure;34b; 76.19
Closure;35b; 76.51
Closure;36b; 76.54
Closure;37b; 76.53
Closure;38b; 76.59
Closure;39b; 76.58
Closure;3b; 76.86
Closure;40b; 76.58
Closure;41b; 76.58
Closure;42b; 76.07
Closure;43b; 76.07
Closure;44b; 75.92
Closure;45b; 75.86
Closure;46b; 75.96
Closure;47b; 75.93
Closure;48b; 75.87
Closure;49b; 69.31
Closure;4b; 76.84
Closure;50b; 69.29
Closure;51b; 69.28
Closure;52b; 69.24
Closure;53b; 69.22
Closure;54b; 69.33
Closure;55b; 69.34
Closure;56b; 69.35
Closure;57b; 69.34
Closure;58b; 69.37
Closure;59b; 69.55
Closure;5b; 76.7
Closure;60b; 70.48
Closure;61b; 70.42
Closure;62b; 70.43
Closure;63b;
Closure;64b; 70.63
Closure;65b; 70.58
Closure;66b; 70.59
Closure;67b; 70.58
Closure;68b; 70.57
Closure;69b; 70.53
Closure;6b; 76.72
Closure;70b; 70.49
Closure;71b; 69.87
Closure;72b; 69.85
Closure;73b; 69.77
Closure;74b; 69.62
Closure;75b; 69.54
Closure;76b; 71.09
Closure;77b; 71.09
Closure;78b; 71.07
Closure;79b; 71.01
Closure;7b; 76.58
Closure;80b; 70.99
Closure;81b; 70.87
Closure;82b; 70.82
Closure;83b; 70.72
Closure;84b; 70.97
Closure;85b; 70.94
Closure;86b; 70.78
Closure;87b; 68.25
Closure;88b; 68.24
Closure;89b; 68.08
Closure;8b; 76.63
Closure;90b; 68.27
Closure;91b; 68.26
Closure;92b; 68.24
Closure;93b;
Closure;94b; 68.21
Closure;95b; 70.47
Closure;96b; 69.79
Closure;97b; 69.28
Closure;98b; 69.68
Closure;99b; 69.67
Closure;9b; 76.61
