Project;Version;DUAcov
Compress;10b; 66.39
Compress;11b; 67.32
Compress;12b; 67.32
Compress;13b; 67.37
Compress;14b; 67.37
Compress;15b; 65.56
Compress;16b; 65.64
Compress;17b; 65.53
Compress;18b; 65.94
Compress;19b; 63.69
Compress;1b; 59.18
Compress;20b; 63.52
Compress;21b; 69.68
Compress;22b; 70.2
Compress;23b; 70.24
Compress;24b; 70.3
Compress;25b; 70.33
Compress;26b; 70.76
Compress;27b; 70.74
Compress;28b; 70.77
Compress;29b; 71.07
Compress;2b; 63.06
Compress;30b; 73.55
Compress;31b; 73.55
Compress;32b; 73.55
Compress;33b; 73.62
Compress;34b; 74.52
Compress;35b; 73.39
Compress;36b; 73.82
Compress;37b; 73.88
Compress;38b; 73.93
Compress;39b; 73.95
Compress;3b; 67.87
Compress;40b; 73.73
Compress;41b; 73.26
Compress;42b; 74.02
Compress;43b; 75.49
Compress;44b; 75.82
Compress;45b; 75.8
Compress;46b; 75.17
Compress;47b; 75.65
Compress;4b; 68.06
Compress;5b; 68.56
Compress;6b; 67.89
Compress;7b; 64.64
Compress;8b; 64.39
Compress;9b; 63.96
