Project;Version;DUAcov
JacksonCore;10b; 58.87
JacksonCore;11b; 59.03
JacksonCore;12b; 58.95
JacksonCore;13b; 58.99
JacksonCore;14b; 58.93
JacksonCore;15b; 58.93
JacksonCore;16b; 59.65
JacksonCore;17b; 59.26
JacksonCore;18b; 59.69
JacksonCore;19b; 59.77
JacksonCore;1b; 55.99
JacksonCore;20b; 60.59
JacksonCore;21b; 61.07
JacksonCore;22b; 61.95
JacksonCore;23b; 63.6
JacksonCore;24b; 63.6
JacksonCore;25b; 63.86
JacksonCore;26b; 63.69
JacksonCore;2b; 56.05
JacksonCore;3b; 56.31
JacksonCore;4b; 57.47
JacksonCore;5b; 57.56
JacksonCore;6b; 57.66
JacksonCore;7b; 57.6
JacksonCore;8b; 57.44
JacksonCore;9b; 57.57
