Project;Version;DUAcov
JacksonDatabind;100b; 69.49
JacksonDatabind;101b; 69.52
JacksonDatabind;102b; 69.51
JacksonDatabind;103b; 69.49
JacksonDatabind;104b; 69.47
JacksonDatabind;105b; 69.53
JacksonDatabind;106b; 69.0
JacksonDatabind;107b; 69.54
JacksonDatabind;108b; 68.99
JacksonDatabind;109b; 69.0
JacksonDatabind;10b; 61.71
JacksonDatabind;110b; 69.51
JacksonDatabind;111b; 69.51
JacksonDatabind;112b; 69.51
JacksonDatabind;11b; 61.79
JacksonDatabind;12b; 62.89
JacksonDatabind;13b; 61.8
JacksonDatabind;14b; 61.81
JacksonDatabind;15b; 61.79
JacksonDatabind;16b; 61.73
JacksonDatabind;17b; 62.96
JacksonDatabind;18b; 62.54
JacksonDatabind;19b; 62.49
JacksonDatabind;1b; 63.16
JacksonDatabind;20b; 61.77
JacksonDatabind;21b; 62.56
JacksonDatabind;22b; 62.64
JacksonDatabind;23b; 62.63
JacksonDatabind;24b; 62.68
JacksonDatabind;25b; 62.68
JacksonDatabind;26b; 62.66
JacksonDatabind;27b; 62.73
JacksonDatabind;28b; 62.75
JacksonDatabind;29b; 62.76
JacksonDatabind;2b; 62.96
JacksonDatabind;30b; 62.78
JacksonDatabind;31b; 62.74
JacksonDatabind;32b; 62.79
JacksonDatabind;33b; 62.79
JacksonDatabind;34b; 63.31
JacksonDatabind;35b; 61.86
JacksonDatabind;36b; 63.32
JacksonDatabind;37b; 63.37
JacksonDatabind;38b; 63.35
JacksonDatabind;39b; 62.81
JacksonDatabind;3b; 62.96
JacksonDatabind;40b; 63.37
JacksonDatabind;41b; 63.45
JacksonDatabind;42b; 62.83
JacksonDatabind;43b; 63.46
JacksonDatabind;44b;
JacksonDatabind;45b;
JacksonDatabind;46b; 62.9
JacksonDatabind;47b; 63.62
JacksonDatabind;48b; 63.59
JacksonDatabind;49b; 62.92
JacksonDatabind;4b; 63.1
JacksonDatabind;50b; 62.87
JacksonDatabind;51b; 62.9
JacksonDatabind;52b; 62.86
JacksonDatabind;53b; 63.62
JacksonDatabind;54b; 62.93
JacksonDatabind;55b; 63.52
JacksonDatabind;56b; 63.51
JacksonDatabind;57b; 63.58
JacksonDatabind;58b; 63.55
JacksonDatabind;59b; 62.94
JacksonDatabind;5b; 63.11
JacksonDatabind;60b; 63.0
JacksonDatabind;61b; 63.06
JacksonDatabind;62b; 63.54
JacksonDatabind;63b; 63.04
JacksonDatabind;64b; 63.03
JacksonDatabind;65b; 63.39
JacksonDatabind;66b; 63.41
JacksonDatabind;67b; 63.44
JacksonDatabind;68b; 63.44
JacksonDatabind;69b; 63.58
JacksonDatabind;6b; 63.22
JacksonDatabind;70b; 63.5
JacksonDatabind;71b; 63.58
JacksonDatabind;72b; 63.58
JacksonDatabind;73b; 63.6
JacksonDatabind;74b; 63.62
JacksonDatabind;75b; 63.61
JacksonDatabind;76b; 63.74
JacksonDatabind;77b; 63.63
JacksonDatabind;78b; 63.78
JacksonDatabind;79b; 63.63
JacksonDatabind;7b; 63.21
JacksonDatabind;80b; 68.85
JacksonDatabind;81b; 68.85
JacksonDatabind;82b; 63.77
JacksonDatabind;83b; 63.77
JacksonDatabind;84b; 63.78
JacksonDatabind;85b; 63.76
JacksonDatabind;86b; 63.82
JacksonDatabind;87b; 63.82
JacksonDatabind;88b; 63.96
JacksonDatabind;89b; 63.94
JacksonDatabind;8b; 61.79
JacksonDatabind;90b; 64.04
JacksonDatabind;91b; 64.05
JacksonDatabind;92b; 63.63
JacksonDatabind;93b; 64.06
JacksonDatabind;94b; 63.65
JacksonDatabind;95b; 64.08
JacksonDatabind;96b; 69.5
JacksonDatabind;97b; 69.48
JacksonDatabind;98b; 69.49
JacksonDatabind;99b; 64.06
JacksonDatabind;9b; 61.78
