Project;Version;DUAcov
Jsoup;10b; 81.25
Jsoup;11b; 81.48
Jsoup;12b; 75.06
Jsoup;13b; 63.2
Jsoup;14b; 63.44
Jsoup;15b; 63.79
Jsoup;16b; 64.55
Jsoup;17b; 64.65
Jsoup;18b; 64.62
Jsoup;19b; 64.95
Jsoup;1b; 82.38
Jsoup;20b; 64.84
Jsoup;21b; 64.98
Jsoup;22b; 64.82
Jsoup;23b; 64.98
Jsoup;24b; 65.17
Jsoup;25b; 65.47
Jsoup;26b; 66.41
Jsoup;27b; 66.41
Jsoup;28b; 66.45
Jsoup;29b; 66.56
Jsoup;2b; 82.38
Jsoup;30b; 66.54
Jsoup;31b; 66.59
Jsoup;32b; 66.68
Jsoup;33b; 68.16
Jsoup;34b; 68.17
Jsoup;35b; 68.24
Jsoup;36b; 68.19
Jsoup;37b; 68.09
Jsoup;38b; 68.21
Jsoup;39b; 68.39
Jsoup;3b; 82.91
Jsoup;40b; 68.49
Jsoup;41b; 69.03
Jsoup;42b; 69.14
Jsoup;43b; 69.33
Jsoup;44b; 69.78
Jsoup;45b; 69.98
Jsoup;46b; 70.0
Jsoup;47b; 70.02
Jsoup;48b; 69.92
Jsoup;49b; 69.93
Jsoup;4b; 84.08
Jsoup;50b; 69.53
Jsoup;51b; 69.62
Jsoup;52b; 69.49
Jsoup;53b; 69.58
Jsoup;54b; 69.68
Jsoup;55b; 70.06
Jsoup;56b; 70.11
Jsoup;57b; 70.19
Jsoup;58b; 70.1
Jsoup;59b; 70.15
Jsoup;5b; 84.08
Jsoup;60b; 70.21
Jsoup;61b; 70.24
Jsoup;62b; 70.3
Jsoup;63b; 69.89
Jsoup;64b; 69.86
Jsoup;65b; 69.83
Jsoup;66b; 69.83
Jsoup;67b; 71.89
Jsoup;68b; 72.74
Jsoup;69b; 72.94
Jsoup;6b; 81.03
Jsoup;70b; 72.89
Jsoup;71b; 72.96
Jsoup;72b; 72.99
Jsoup;73b; 72.56
Jsoup;74b; 73.07
Jsoup;75b; 74.18
Jsoup;76b; 74.28
Jsoup;77b; 74.25
Jsoup;78b; 74.34
Jsoup;79b; 74.34
Jsoup;7b; 80.92
Jsoup;80b; 74.43
Jsoup;81b; 74.43
Jsoup;82b; 74.57
Jsoup;83b; 74.58
Jsoup;84b; 74.6
Jsoup;85b; 74.58
Jsoup;86b; 74.59
Jsoup;87b; 74.6
Jsoup;88b; 74.58
Jsoup;89b; 74.59
Jsoup;8b; 81.07
Jsoup;90b; 74.63
Jsoup;91b; 74.69
Jsoup;92b; 74.74
Jsoup;93b; 74.98
Jsoup;9b; 81.11
