Project;Version;DUAcov
Lang;10b; 87.0
Lang;11b; 86.94
Lang;12b; 86.93
Lang;13b; 86.91
Lang;14b; 86.71
Lang;15b; 86.62
Lang;16b; 85.53
Lang;17b; 86.42
Lang;18b; 86.37
Lang;19b; 86.05
Lang;1b; 87.06
Lang;20b; 86.05
Lang;21b; 85.29
Lang;22b; 85.26
Lang;23b; 85.29
Lang;24b; 85.28
Lang;25b; 85.24
Lang;26b; 85.3
Lang;27b; 85.33
Lang;28b; 86.21
Lang;29b; 86.23
Lang;2b;
Lang;30b; 86.18
Lang;31b; 86.21
Lang;32b; 86.26
Lang;33b; 86.26
Lang;34b; 86.27
Lang;35b;
Lang;36b;
Lang;37b;
Lang;38b;
Lang;39b;
Lang;3b; 87.07
Lang;40b;
Lang;41b;
Lang;42b;
Lang;43b;
Lang;44b;
Lang;45b;
Lang;46b;
Lang;47b;
Lang;48b;
Lang;49b;
Lang;4b; 87.08
Lang;50b;
Lang;51b;
Lang;52b;
Lang;53b;
Lang;54b;
Lang;55b;
Lang;56b;
Lang;57b;
Lang;58b;
Lang;59b;
Lang;5b; 87.06
Lang;60b;
Lang;61b;
Lang;62b;
Lang;63b;
Lang;64b;
Lang;6b;
Lang;7b; 87.07
Lang;8b; 87.08
Lang;9b; 87.02
