Project;Version;DUAcov
Math;100b; 82.61
Math;101b; 82.59
Math;102b; 82.49
Math;103b; 78.57
Math;104b; 78.56
Math;105b; 81.01
Math;106b; 80.54
Math;10b; 76.58
Math;11b; 76.52
Math;12b; 76.46
Math;13b; 76.49
Math;14b; 76.4
Math;15b; 78.98
Math;16b; 78.96
Math;17b; 78.84
Math;18b; 78.92
Math;19b; 78.84
Math;1b; 76.85
Math;20b; 78.84
Math;21b; 78.83
Math;22b; 78.84
Math;23b; 78.87
Math;24b; 78.88
Math;25b; 78.67
Math;26b; 78.36
Math;27b; 78.36
Math;28b; 78.36
Math;29b; 78.37
Math;2b; 76.76
Math;30b; 78.42
Math;31b; 78.29
Math;32b; 78.28
Math;33b; 78.16
Math;34b; 78.1
Math;35b; 78.09
Math;36b; 77.92
Math;37b; 77.84
Math;38b; 77.64
Math;39b; 77.57
Math;3b; 76.62
Math;40b; 77.6
Math;41b; 77.61
Math;42b; 77.53
Math;43b; 77.64
Math;44b; 77.67
Math;45b; 77.71
Math;46b; 78.07
Math;47b; 78.06
Math;48b; 78.13
Math;49b; 77.59
Math;4b; 76.58
Math;50b; 77.57
Math;51b; 77.62
Math;52b; 81.6
Math;53b; 81.68
Math;54b; 82.93
Math;55b; 82.8
Math;56b; 82.78
Math;57b; 82.74
Math;58b; 82.71
Math;59b; 82.15
Math;5b; 76.85
Math;60b; 81.77
Math;61b; 82.2
Math;62b; 82.16
Math;63b; 82.39
Math;64b; 83.29
Math;65b; 83.31
Math;66b; 83.37
Math;67b; 83.43
Math;68b; 83.42
Math;69b; 83.43
Math;6b; 76.64
Math;70b; 83.42
Math;71b; 83.18
Math;72b; 83.44
Math;73b; 83.41
Math;74b; 83.12
Math;75b; 83.16
Math;76b; 83.15
Math;77b; 81.82
Math;78b; 83.46
Math;79b; 83.46
Math;7b; 76.74
Math;80b; 83.62
Math;81b; 83.3
Math;82b; 82.89
Math;83b; 82.91
Math;84b; 82.88
Math;85b; 82.68
Math;86b; 82.46
Math;87b; 82.45
Math;88b; 82.16
Math;89b; 82.16
Math;8b; 76.86
Math;90b; 82.16
Math;91b; 82.19
Math;92b; 83.47
Math;93b; 83.46
Math;94b; 83.73
Math;95b; 83.64
Math;96b; 83.39
Math;97b; 82.09
Math;98b; 82.06
Math;99b; 83.64
Math;9b; 76.87
