Project;Version;DUAcov
Mockito;10b; 72.93
Mockito;11b; 73.0
Mockito;12b; 83.2
Mockito;13b; 83.07
Mockito;14b; 83.04
Mockito;15b; 83.62
Mockito;16b; 81.68
Mockito;17b; 81.72
Mockito;18b; 72.67
Mockito;19b; 72.67
Mockito;1b; 72.15
Mockito;20b; 70.36
Mockito;21b; 73.29
Mockito;22b; 81.85
Mockito;23b; 81.9
Mockito;24b; 81.85
Mockito;25b; 80.81
Mockito;26b; 81.0
Mockito;27b; 82.98
Mockito;28b; 83.75
Mockito;29b; 83.66
Mockito;2b; 73.56
Mockito;30b; 83.65
Mockito;31b; 83.65
Mockito;32b; 83.35
Mockito;33b; 83.34
Mockito;34b; 81.71
Mockito;35b; 80.65
Mockito;36b; 80.8
Mockito;37b; 80.84
Mockito;38b; 81.81
Mockito;3b; 72.65
Mockito;4b; 73.65
Mockito;5b; 73.55
Mockito;6b; 73.57
Mockito;7b; 73.55
Mockito;8b; 73.49
Mockito;9b; 73.13
