Version;TopDUAsStatus;DUAMaxFdp;NodeMaxFdp;EdgeMaxFdp;topDUANodeSubsumption;topDUAEdgeSubsumption;
Chart-1b;clear;1.0;0.0;0.0;True;True;
Chart-2b;clear;1.0;0.0;0.0;True;True;
Chart-3b;clear;0.3333;0.0;0.0;True;True;
Chart-4b;clear;1.0;0.0;0.0;True;True;
Chart-5b;clear;0.5;0.0;0.0;True;True;
Chart-6b;clear;1.0;0.0;0.0;True;True;
Chart-7b;clear;0.2;0.0;0.0;True;True;
Chart-9b;clear;0.5;0.0;0.0;True;True;
Chart-11b;clear;0.0625;0.0;0.0;True;True;
Chart-12b;clear;0.25;0.0;0.0;True;True;
Chart-13b;clear;1.0;0.0;0.0;True;True;
Chart-14b;clear;0.1333;0.0;0.0;False;True;
Chart-15b;clear;1.0;0.0;0.0;True;True;
Chart-16b;clear;0.5714;0.0;0.0;True;True;
Chart-17b;clear;0.5;0.0;0.0;True;True;
Chart-18b;clear;1.0;0.0;0.0;True;True;
Chart-19b;clear;1.0;0.0;0.0;True;True;
Chart-20b;clear;0.0079;0.0;0.0;True;True;
Chart-21b;clear;1.0;0.0;0.0;True;True;
Chart-22b;clear;1.0;0.0;0.0;True;True;
Chart-23b;clear;1.0;0.0;0.0;True;True;
Chart-24b;clear;0.1;0.0;0.0;True;True;
Chart-25b;clear;1.0;0.0;0.0;True;True;
Chart-26b;clear;1.0;0.0;0.0;True;True;
Cli-1b;clear;0.0625;0.0;0.0;True;True;
Cli-2b;clear;0.5;0.0;0.0;True;True;
Cli-3b;clear;1.0;0.0;0.0;True;True;
Cli-4b;clear;0.5;0.0;0.0;True;True;
Cli-5b;clear;0.25;0.0;0.0;True;True;
Cli-7b;clear;1.0;0.0;0.0;True;True;
Cli-8b;clear;0.3333;0.0;0.0;False;False;
Cli-9b;clear;1.0;0.0;0.0;True;True;
Cli-10b;clear;1.0;0.0;0.0;False;False;
Cli-11b;clear;1.0;0.0;0.0;True;True;
Cli-12b;clear;0.5;0.0;0.0;True;True;
Cli-13b;clear;1.0;0.0;0.0;True;True;
Cli-14b;clear;1.0;0.0;0.0;True;True;
Cli-15b;clear;1.0;0.0;0.0;True;True;
Cli-16b;clear;1.0;0.0;0.0;True;True;
Cli-17b;clear;1.0;0.0;0.0;True;True;
Cli-18b;clear;1.0;0.0;0.0;True;True;
Cli-19b;clear;1.0;0.0;0.0;False;True;
Cli-20b;clear;0.5;0.0;0.0;True;True;
Cli-21b;clear;1.0;0.0;0.0;True;True;
Cli-22b;clear;0.4;0.0;0.0;False;True;
Cli-23b;clear;1.0;0.0;0.0;True;True;
Cli-24b;clear;1.0;0.0;0.0;True;True;
Cli-25b;clear;1.0;0.0;0.0;True;True;
Cli-26b;clear;0.5;0.0;0.0;True;True;
Cli-27b;clear;0.2;0.0;0.0;False;True;
Cli-28b;clear;1.0;0.0;0.0;True;True;
Cli-29b;clear;1.0;0.0;0.0;False;False;
Cli-30b;clear;0.7143;0.0;0.0;True;True;
