Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Compress;10b;1.000000;13;clear;0.000000;0;False;True;
Compress;11b;1.000000;1;clear;0.000000;0;False;True;
Compress;12b;0.500000;2;clear;0.500000;4;False;False;
Compress;13b;0.500000;1;clear;0.000000;0;False;True;
Compress;14b;0.500000;2;clear;0.000000;0;False;True;
Compress;15b;1.000000;1;clear;0.000000;0;False;True;
Compress;16b;1.000000;1;clear;1.000000;3;False;False;
Compress;17b;0.500000;1;clear;0.000000;0;False;True;
Compress;18b;1.000000;9;clear;0.000000;0;False;True;
Compress;19b;1.000000;19;clear;1.000000;1;False;False;
Compress;1b;1.000000;27;clear;1.000000;3;False;False;
Compress;20b;1.000000;3;clear;0.000000;0;False;True;
Compress;21b;1.000000;14;clear;1.000000;14;False;False;
Compress;22b;1.000000;53;clear;1.000000;24;False;False;
Compress;23b;1.000000;5;clear;0.000000;0;False;True;
Compress;24b;1.000000;6;clear;0.000000;0;False;True;
Compress;25b;1.000000;10;clear;0.000000;0;False;True;
Compress;26b;0.200000;1;clear;0.000000;0;False;True;
Compress;27b;1.000000;9;clear;1.000000;4;False;False;
Compress;28b;1.000000;4;clear;0.000000;0;False;True;
Compress;29b;1.000000;58;clear;1.000000;1;False;False;
Compress;2b;1.000000;4;clear;0.000000;0;False;True;
Compress;30b;1.000000;165;clear;1.000000;228;False;False;
Compress;31b;1.000000;7;clear;1.000000;4;False;False;
Compress;32b;0.500000;4;clear;0.000000;0;False;True;
Compress;33b;1.000000;8;clear;0.000000;0;False;True;
Compress;34b;0.333333;5;clear;0.333333;3;False;False;
Compress;35b;0.333333;2;clear;0.000000;0;False;True;
Compress;36b;1.000000;3;clear;0.000000;0;False;True;
Compress;37b;0.333333;2;clear;0.333333;1;False;False;
Compress;38b;1.000000;1;clear;0.000000;0;False;True;
Compress;39b;0.333333;7;clear;0.333333;11;False;False;
Compress;3b;1.000000;6;clear;0.000000;0;False;True;
Compress;40b;0.200000;3;clear;0.200000;14;False;False;
Compress;41b;0.142857;1;clear;0.142857;5;False;False;
Compress;42b;0.500000;1;clear;0.000000;0;False;True;
Compress;43b;0.333333;4;clear;0.000000;0;False;True;
Compress;44b;0.000000;0;notclear;0.000000;0;False;False;
Compress;45b;1.000000;19;clear;1.000000;17;False;False;
Compress;46b;0.250000;4;clear;0.000000;0;False;True;
Compress;47b;0.333333;2;clear;0.000000;0;False;True;
Compress;4b;1.000000;13;clear;1.000000;18;False;False;
Compress;5b;1.000000;9;clear;1.000000;3;False;False;
Compress;6b;0.333333;2;clear;0.333333;8;False;False;
Compress;7b;0.100000;1;clear;0.000000;0;False;True;
Compress;8b;1.000000;1;clear;0.000000;0;False;True;
Compress;9b;0.200000;7;clear;0.000000;0;False;True;
