Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
JacksonCore;10b;1.000000;11;clear;1.000000;15;False;False;
JacksonCore;11b;1.000000;8;clear;1.000000;9;False;False;
JacksonCore;12b;0.500000;6;clear;0.000000;0;False;True;
JacksonCore;13b;1.000000;7;clear;1.000000;1;False;False;
JacksonCore;14b;1.000000;4;clear;1.000000;2;False;False;
JacksonCore;15b;0.333333;2;clear;0.000000;0;False;True;
JacksonCore;16b;0.500000;12;clear;0.500000;5;False;False;
JacksonCore;17b;0.333333;5;clear;0.333333;27;False;False;
JacksonCore;18b;1.000000;4;clear;1.000000;18;False;False;
JacksonCore;19b;0.000000;0;notclear;0.000000;0;False;False;
JacksonCore;1b;1.000000;3;clear;1.000000;2;False;False;
JacksonCore;20b;0.030769;1;clear;0.030769;2;False;False;
JacksonCore;21b;1.000000;24;clear;1.000000;9;False;False;
JacksonCore;22b;1.000000;13;clear;1.000000;16;False;False;
JacksonCore;23b;0.000000;0;notclear;0.000000;0;False;False;
JacksonCore;24b;1.000000;8;clear;1.000000;5;False;False;
JacksonCore;25b;0.000000;0;notclear;0.000000;0;False;False;
JacksonCore;26b;0.026316;1;clear;0.026316;1;False;False;
JacksonCore;2b;0.142857;1;clear;0.000000;0;False;True;
JacksonCore;3b;0.500000;3;clear;0.500000;7;False;False;
JacksonCore;4b;1.000000;1;clear;0.000000;0;False;True;
JacksonCore;5b;0.000000;0;notclear;0.000000;0;False;False;
JacksonCore;6b;0.500000;2;clear;0.500000;3;False;False;
JacksonCore;7b;0.333333;4;clear;0.000000;0;False;True;
JacksonCore;8b;0.020000;4;clear;0.000000;0;False;True;
JacksonCore;9b;1.000000;10;clear;1.000000;9;False;False;
