Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
JacksonDatabind;100b;0.250000;10;clear;0.250000;2;False;False;
JacksonDatabind;101b;1.000000;5;clear;1.000000;7;False;False;
JacksonDatabind;102b;0.500000;6;clear;0.500000;1;False;False;
JacksonDatabind;103b;0.333333;1;clear;0.333333;4;False;False;
JacksonDatabind;104b;0.500000;3;clear;0.000000;0;False;True;
JacksonDatabind;105b;0.250000;1;clear;0.000000;0;False;True;
JacksonDatabind;106b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;107b;1.000000;3;clear;1.000000;2;False;False;
JacksonDatabind;108b;0.500000;3;clear;0.000000;0;False;True;
JacksonDatabind;109b;0.000000;0;notclear;1.000000;10;True;False;
JacksonDatabind;10b;0.200000;1;clear;0.000000;0;False;True;
JacksonDatabind;110b;0.500000;3;clear;0.000000;0;False;True;
JacksonDatabind;111b;0.166667;4;clear;0.000000;0;False;True;
JacksonDatabind;112b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;11b;1.000000;9;clear;1.000000;9;False;False;
JacksonDatabind;12b;0.250000;9;clear;0.000000;0;False;True;
JacksonDatabind;13b;1.000000;1;clear;1.000000;4;False;False;
JacksonDatabind;14b;1.000000;2;clear;0.000000;0;False;True;
JacksonDatabind;15b;0.333333;2;clear;0.000000;0;False;True;
JacksonDatabind;16b;1.000000;1;clear;0.000000;0;False;True;
JacksonDatabind;17b;1.000000;6;clear;1.000000;2;False;False;
JacksonDatabind;18b;1.000000;1;clear;1.000000;2;False;False;
JacksonDatabind;19b;0.166667;1;clear;0.000000;0;False;True;
JacksonDatabind;1b;1.000000;6;clear;1.000000;1;False;False;
JacksonDatabind;20b;0.500000;2;clear;0.500000;5;False;False;
JacksonDatabind;21b;0.250000;3;clear;0.000000;0;False;True;
JacksonDatabind;22b;0.250000;1;clear;0.000000;0;False;True;
JacksonDatabind;23b;1.000000;1;clear;0.000000;0;False;True;
JacksonDatabind;24b;0.500000;6;clear;0.500000;5;False;False;
JacksonDatabind;25b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;26b;1.000000;4;clear;0.000000;0;False;True;
JacksonDatabind;27b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;28b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;29b;1.000000;7;clear;0.000000;0;False;True;
JacksonDatabind;2b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;30b;1.000000;12;clear;1.000000;3;False;False;
JacksonDatabind;31b;0.014706;4;clear;0.000000;0;False;True;
JacksonDatabind;32b;1.000000;2;clear;0.000000;0;False;True;
JacksonDatabind;33b;0.000000;0;notclear;0.142857;1;True;False;
JacksonDatabind;34b;1.000000;19;clear;1.000000;10;False;False;
JacksonDatabind;35b;1.000000;12;clear;0.000000;0;False;True;
JacksonDatabind;36b;1.000000;2;clear;0.000000;0;False;True;
JacksonDatabind;37b;0.142857;7;clear;0.142857;6;False;False;
JacksonDatabind;38b;1.000000;1;clear;0.000000;0;False;True;
JacksonDatabind;39b;0.500000;2;clear;0.500000;5;False;False;
JacksonDatabind;3b;0.000000;0;notclear;0.500000;2;True;False;
JacksonDatabind;40b;0.250000;3;clear;0.000000;0;False;True;
JacksonDatabind;41b;1.000000;1;clear;1.000000;2;False;False;
JacksonDatabind;42b;1.000000;9;clear;0.000000;0;False;True;
JacksonDatabind;43b;0.500000;5;clear;0.000000;0;False;True;
JacksonDatabind;46b;1.000000;10;clear;1.000000;14;False;False;
JacksonDatabind;47b;1.000000;7;clear;1.000000;1;False;False;
JacksonDatabind;48b;1.000000;7;clear;0.000000;0;False;True;
JacksonDatabind;49b;1.000000;4;clear;0.000000;0;False;True;
JacksonDatabind;4b;1.000000;13;clear;1.000000;3;False;False;
JacksonDatabind;50b;1.000000;7;clear;1.000000;8;False;False;
JacksonDatabind;51b;1.000000;4;clear;1.000000;8;False;False;
JacksonDatabind;52b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;53b;0.500000;14;clear;0.500000;11;False;False;
JacksonDatabind;54b;1.000000;12;clear;0.000000;0;False;True;
JacksonDatabind;55b;0.111111;2;clear;0.000000;0;False;True;
JacksonDatabind;56b;1.000000;6;clear;0.000000;0;False;True;
JacksonDatabind;57b;1.000000;12;clear;1.000000;6;False;False;
JacksonDatabind;58b;0.058824;3;clear;0.000000;0;False;True;
JacksonDatabind;59b;1.000000;4;clear;0.000000;0;False;True;
JacksonDatabind;5b;1.000000;1;clear;1.000000;4;False;False;
JacksonDatabind;60b;1.000000;9;clear;1.000000;4;False;False;
JacksonDatabind;61b;0.000000;0;notclear;1.000000;10;True;False;
JacksonDatabind;62b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;63b;1.000000;2;clear;0.000000;0;False;True;
JacksonDatabind;64b;1.000000;2;clear;1.000000;10;False;False;
JacksonDatabind;65b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;66b;0.500000;5;clear;0.000000;0;False;True;
JacksonDatabind;67b;1.000000;1;clear;1.000000;2;False;False;
JacksonDatabind;68b;1.000000;2;clear;0.000000;0;False;True;
JacksonDatabind;69b;1.000000;2;clear;1.000000;4;False;False;
JacksonDatabind;6b;1.000000;2;clear;0.000000;0;False;True;
JacksonDatabind;70b;1.000000;1;clear;1.000000;1;False;False;
JacksonDatabind;71b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;72b;0.500000;4;clear;0.500000;14;False;False;
JacksonDatabind;73b;1.000000;12;clear;1.000000;3;False;False;
JacksonDatabind;74b;0.333333;2;clear;0.333333;1;False;False;
JacksonDatabind;75b;0.500000;6;clear;0.000000;0;False;True;
JacksonDatabind;76b;1.000000;1;clear;1.000000;7;False;False;
JacksonDatabind;77b;1.000000;1;clear;1.000000;8;False;False;
JacksonDatabind;78b;1.000000;2;clear;1.000000;8;False;False;
JacksonDatabind;79b;0.250000;7;clear;0.000000;0;False;True;
JacksonDatabind;7b;0.250000;1;clear;0.000000;0;False;True;
JacksonDatabind;80b;0.062500;1;clear;0.000000;0;False;True;
JacksonDatabind;81b;0.500000;11;clear;0.500000;4;False;False;
JacksonDatabind;82b;0.166667;7;clear;0.166667;4;False;False;
JacksonDatabind;83b;1.000000;17;clear;1.000000;13;False;False;
JacksonDatabind;84b;1.000000;3;clear;1.000000;1;False;False;
JacksonDatabind;85b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;86b;1.000000;3;clear;1.000000;1;False;False;
JacksonDatabind;87b;1.000000;1;clear;0.000000;0;False;True;
JacksonDatabind;88b;1.000000;4;clear;1.000000;8;False;False;
JacksonDatabind;89b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;8b;1.000000;3;clear;0.000000;0;False;True;
JacksonDatabind;90b;0.166667;2;clear;0.000000;0;False;True;
JacksonDatabind;91b;0.333333;1;clear;0.000000;0;False;True;
JacksonDatabind;92b;0.500000;2;clear;0.000000;0;False;True;
JacksonDatabind;93b;0.090909;1;clear;0.000000;0;False;True;
JacksonDatabind;94b;0.333333;1;clear;0.000000;0;False;True;
JacksonDatabind;95b;0.000000;0;notclear;0.000000;0;False;False;
JacksonDatabind;96b;1.000000;4;clear;0.000000;0;False;True;
JacksonDatabind;97b;0.500000;1;clear;0.000000;0;False;True;
JacksonDatabind;98b;1.000000;1;clear;1.000000;1;False;False;
JacksonDatabind;99b;0.500000;12;clear;0.500000;1;False;False;
JacksonDatabind;9b;0.125000;5;clear;0.000000;0;False;True;
