Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Jsoup;10b;0.062500;5;clear;0.000000;0;False;True;
Jsoup;11b;1.000000;6;clear;0.000000;0;False;True;
Jsoup;12b;1.000000;6;clear;0.000000;0;False;True;
Jsoup;13b;1.000000;1;clear;0.000000;0;False;True;
Jsoup;14b;1.000000;4;clear;0.000000;0;False;True;
Jsoup;15b;1.000000;3;clear;1.000000;4;False;False;
Jsoup;16b;1.000000;6;clear;0.000000;0;False;True;
Jsoup;17b;0.000000;0;notclear;0.500000;3;True;False;
Jsoup;18b;1.000000;1;clear;0.000000;0;False;True;
Jsoup;19b;1.000000;3;clear;1.000000;8;False;False;
Jsoup;1b;0.500000;8;clear;0.000000;0;False;True;
Jsoup;20b;0.000000;0;notclear;0.500000;6;True;False;
Jsoup;21b;0.285714;4;clear;0.000000;0;False;True;
Jsoup;22b;0.000000;0;notclear;0.095238;4;True;False;
Jsoup;23b;0.333333;3;clear;0.000000;0;False;True;
Jsoup;24b;1.000000;7;clear;0.000000;0;False;True;
Jsoup;25b;0.166667;1;clear;0.166667;10;False;False;
Jsoup;26b;1.000000;1;clear;1.000000;9;False;False;
Jsoup;27b;0.400000;3;clear;0.400000;3;False;False;
Jsoup;28b;1.000000;11;clear;1.000000;5;False;False;
Jsoup;29b;1.000000;4;clear;0.000000;0;False;True;
Jsoup;2b;0.333333;1;clear;0.333333;1;False;False;
Jsoup;30b;1.000000;3;clear;0.000000;0;False;True;
Jsoup;31b;0.500000;5;clear;0.000000;0;False;True;
Jsoup;32b;0.500000;4;clear;0.500000;8;False;False;
Jsoup;33b;0.500000;2;clear;0.000000;0;False;True;
Jsoup;34b;0.500000;3;clear;0.500000;1;False;False;
Jsoup;35b;0.500000;7;clear;0.500000;54;False;False;
Jsoup;36b;0.500000;1;clear;0.500000;3;False;False;
Jsoup;37b;0.333333;1;clear;0.000000;0;False;True;
Jsoup;38b;0.000000;0;notclear;1.000000;9;True;False;
Jsoup;39b;1.000000;1;clear;0.000000;0;False;True;
Jsoup;3b;0.333333;1;clear;0.333333;7;False;False;
Jsoup;40b;1.000000;1;clear;1.000000;8;False;False;
Jsoup;41b;0.500000;12;clear;0.500000;10;False;False;
Jsoup;42b;1.000000;12;clear;1.000000;10;False;False;
Jsoup;43b;0.333333;4;clear;0.333333;4;False;False;
Jsoup;44b;1.000000;10;clear;1.000000;4;False;False;
Jsoup;45b;1.000000;5;clear;1.000000;4;False;False;
Jsoup;46b;1.000000;4;clear;1.000000;1;False;False;
Jsoup;47b;0.500000;6;clear;0.000000;0;False;True;
Jsoup;48b;1.000000;4;clear;1.000000;1;False;False;
Jsoup;49b;0.500000;1;clear;0.500000;3;False;False;
Jsoup;4b;0.666667;2;clear;0.000000;0;False;True;
Jsoup;50b;1.000000;2;clear;0.000000;0;False;True;
Jsoup;51b;1.000000;1;clear;0.000000;0;False;True;
Jsoup;52b;1.000000;18;clear;1.000000;35;False;False;
Jsoup;53b;1.000000;7;clear;0.000000;0;False;True;
Jsoup;54b;1.000000;6;clear;0.000000;0;False;True;
Jsoup;55b;1.000000;5;clear;0.000000;0;False;True;
Jsoup;56b;1.000000;9;clear;1.000000;1;False;False;
Jsoup;57b;1.000000;2;clear;0.000000;0;False;True;
Jsoup;58b;1.000000;10;clear;1.000000;5;False;False;
Jsoup;59b;0.500000;7;clear;0.000000;0;False;True;
Jsoup;5b;0.500000;5;clear;0.000000;0;False;True;
Jsoup;60b;1.000000;1;clear;0.000000;0;False;True;
Jsoup;61b;0.200000;1;clear;0.000000;0;False;True;
Jsoup;62b;1.000000;5;clear;1.000000;5;False;False;
Jsoup;63b;1.000000;7;clear;0.000000;0;False;True;
Jsoup;64b;0.400000;6;clear;0.000000;0;False;True;
Jsoup;65b;1.000000;9;clear;1.000000;3;False;False;
Jsoup;66b;0.500000;2;clear;0.000000;0;False;True;
Jsoup;67b;0.000000;0;notclear;0.142857;22;True;False;
Jsoup;68b;1.000000;1;clear;1.000000;3;False;False;
Jsoup;69b;1.000000;6;clear;0.000000;0;False;True;
Jsoup;6b;1.000000;10;clear;1.000000;29;False;False;
Jsoup;70b;0.000000;0;notclear;0.333333;1;True;False;
Jsoup;71b;1.000000;6;clear;0.000000;0;False;True;
Jsoup;72b;1.000000;5;clear;0.000000;0;False;True;
Jsoup;73b;1.000000;6;clear;1.000000;3;False;False;
Jsoup;74b;0.200000;2;clear;0.200000;1;False;False;
Jsoup;75b;0.500000;3;clear;0.500000;2;False;False;
Jsoup;76b;0.500000;5;clear;0.000000;0;False;True;
Jsoup;77b;0.250000;3;clear;0.250000;5;False;False;
Jsoup;78b;0.250000;1;clear;0.250000;3;False;False;
Jsoup;79b;0.000000;0;notclear;0.005814;2;True;False;
Jsoup;7b;0.076923;6;clear;0.000000;0;False;True;
Jsoup;80b;1.000000;5;clear;0.000000;0;False;True;
Jsoup;81b;0.333333;2;clear;0.333333;2;False;False;
Jsoup;82b;0.200000;3;notclear;0.200000;4;False;False;
Jsoup;83b;0.500000;16;clear;0.000000;0;False;True;
Jsoup;84b;0.500000;1;clear;0.000000;0;False;True;
Jsoup;85b;0.001724;1;clear;0.000000;0;False;True;
Jsoup;86b;0.333333;6;clear;0.000000;0;False;True;
Jsoup;87b;1.000000;1;clear;0.000000;0;False;True;
Jsoup;88b;0.142857;1;clear;0.000000;0;False;True;
Jsoup;89b;1.000000;2;clear;0.000000;0;False;True;
Jsoup;8b;1.000000;2;clear;0.000000;0;False;True;
Jsoup;90b;0.022222;2;clear;0.000000;0;False;True;
Jsoup;91b;1.000000;3;clear;0.000000;0;False;True;
Jsoup;92b;0.333333;5;clear;0.000000;0;False;True;
Jsoup;93b;1.000000;9;clear;1.000000;10;False;False;
Jsoup;9b;0.500000;1;clear;0.000000;0;False;True;
