Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
JxPath;10b;1.000000;4;clear;0.000000;0;False;True;
JxPath;11b;0.500000;8;clear;0.500000;1;False;False;
JxPath;12b;1.000000;1;clear;0.000000;0;False;True;
JxPath;13b;1.000000;4;clear;0.000000;0;False;True;
JxPath;14b;1.000000;131;clear;1.000000;90;False;False;
JxPath;15b;0.400000;2;clear;0.400000;3;False;False;
JxPath;16b;1.000000;26;clear;1.000000;25;False;False;
JxPath;17b;1.000000;44;clear;1.000000;31;False;False;
JxPath;18b;1.000000;30;clear;1.000000;34;False;False;
JxPath;19b;0.500000;5;clear;0.500000;3;False;False;
JxPath;1b;0.666667;1;clear;0.000000;0;False;True;
JxPath;20b;1.000000;5;clear;0.000000;0;False;True;
JxPath;21b;1.000000;8;clear;1.000000;2;False;False;
JxPath;22b;1.000000;20;clear;1.000000;15;False;False;
JxPath;2b;1.000000;5;clear;0.000000;0;False;True;
JxPath;3b;0.200000;2;clear;0.000000;0;False;True;
JxPath;4b;0.600000;5;clear;0.000000;0;False;True;
JxPath;5b;1.000000;8;clear;1.000000;3;False;False;
JxPath;6b;1.000000;1;clear;1.000000;1;False;False;
JxPath;7b;1.000000;2;clear;0.000000;0;False;True;
JxPath;8b;1.000000;12;clear;1.000000;2;False;False;
JxPath;9b;1.000000;19;clear;1.000000;6;False;False;
