Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Lang;10b;0.125000;1;clear;0.000000;0;False;True;
Lang;11b;0.000000;0;notclear;0.000000;0;False;False;
Lang;12b;1.000000;2;clear;0.000000;0;False;True;
Lang;13b;0.000000;0;notclear;0.166667;3;True;False;
Lang;14b;0.058824;5;clear;0.058824;3;False;False;
Lang;15b;1.000000;52;clear;1.000000;61;False;False;
Lang;16b;0.500000;17;clear;0.500000;24;False;False;
Lang;17b;0.071429;1;clear;0.071429;1;False;False;
Lang;18b;1.000000;15;clear;1.000000;17;False;False;
Lang;19b;1.000000;2;notclear;0.000000;0;False;True;
Lang;1b;0.250000;4;clear;0.250000;6;False;False;
Lang;20b;1.000000;4;clear;1.000000;1;False;False;
Lang;21b;1.000000;2;clear;1.000000;16;False;False;
Lang;22b;1.000000;23;clear;1.000000;21;False;False;
Lang;23b;0.250000;5;clear;0.250000;2;False;False;
Lang;24b;1.000000;90;clear;1.000000;112;False;False;
Lang;25b;0.000000;0;notclear;0.000000;0;False;False;
Lang;26b;1.000000;4;clear;0.000000;0;False;True;
Lang;27b;1.000000;7;clear;1.000000;7;False;False;
Lang;28b;0.500000;1;notclear;0.500000;2;False;False;
Lang;29b;1.000000;1;clear;1.000000;3;False;False;
Lang;30b;1.000000;1;clear;0.000000;0;False;True;
Lang;31b;0.500000;3;clear;0.000000;0;False;True;
Lang;32b;1.000000;1;clear;0.000000;0;False;True;
Lang;33b;1.000000;6;clear;1.000000;12;False;False;
Lang;34b;1.000000;19;clear;1.000000;16;False;False;
Lang;35b;1.000000;2;clear;1.000000;1;False;False;
Lang;36b;1.000000;105;clear;1.000000;147;False;False;
Lang;37b;0.888889;4;clear;0.000000;0;False;True;
Lang;38b;1.000000;13;clear;1.000000;2;False;False;
Lang;39b;1.000000;7;clear;1.000000;4;False;False;
Lang;3b;0.333333;1;clear;0.333333;4;False;False;
Lang;40b;1.000000;45;clear;1.000000;28;False;False;
Lang;41b;1.000000;46;clear;1.000000;28;False;False;
Lang;42b;1.000000;80;clear;1.000000;107;False;False;
Lang;43b;1.000000;81;clear;1.000000;111;False;False;
Lang;44b;1.000000;80;clear;1.000000;107;False;False;
Lang;45b;1.000000;91;clear;1.000000;143;False;False;
Lang;46b;1.000000;80;clear;1.000000;107;False;False;
Lang;47b;1.000000;80;clear;1.000000;107;False;False;
Lang;48b;1.000000;81;clear;1.000000;107;False;False;
Lang;49b;1.000000;88;clear;1.000000;107;False;False;
Lang;4b;0.000000;0;notclear;0.333333;21;True;False;
Lang;50b;1.000000;126;clear;1.000000;135;False;False;
Lang;51b;1.000000;117;clear;1.000000;135;False;False;
Lang;52b;1.000000;87;clear;1.000000;109;False;False;
Lang;53b;1.000000;86;clear;1.000000;109;False;False;
Lang;54b;1.000000;85;clear;1.000000;109;False;False;
Lang;55b;1.000000;87;clear;1.000000;109;False;False;
Lang;56b;1.000000;91;clear;1.000000;109;False;False;
Lang;57b;1.000000;91;clear;1.000000;109;False;False;
Lang;58b;1.000000;93;clear;1.000000;109;False;False;
Lang;59b;1.000000;91;clear;1.000000;109;False;False;
Lang;5b;0.500000;1;clear;0.000000;0;False;True;
Lang;60b;1.000000;91;clear;1.000000;109;False;False;
Lang;61b;1.000000;91;clear;1.000000;109;False;False;
Lang;7b;1.000000;13;clear;1.000000;9;False;False;
Lang;8b;1.000000;4;clear;1.000000;3;False;False;
Lang;9b;1.000000;1;clear;0.000000;0;False;True;
