Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Mockito;10b;0.040000;2;clear;0.000000;0;False;True;
Mockito;11b;0.002621;1;clear;0.002621;2;False;False;
Mockito;12b;0.750000;2;clear;0.000000;0;False;True;
Mockito;13b;1.000000;2;clear;0.000000;0;False;True;
Mockito;14b;0.076923;2;clear;0.000000;0;False;True;
Mockito;15b;0.071429;10;clear;0.071429;10;False;False;
Mockito;16b;0.500000;3;clear;0.000000;0;False;True;
Mockito;17b;0.066667;3;clear;0.066667;9;False;False;
Mockito;18b;0.002110;1;clear;0.002110;4;False;False;
Mockito;19b;0.166667;2;clear;0.000000;0;False;True;
Mockito;1b;1.000000;5;clear;0.000000;0;False;True;
Mockito;20b;1.000000;5;clear;0.000000;0;False;True;
Mockito;21b;0.500000;4;clear;0.000000;0;False;True;
Mockito;22b;1.000000;1;clear;0.000000;0;False;True;
Mockito;23b;1.000000;2;clear;0.000000;0;False;True;
Mockito;24b;0.333333;3;clear;0.000000;0;False;True;
Mockito;25b;0.800000;2;clear;0.000000;0;False;True;
Mockito;26b;0.400000;2;clear;0.000000;0;False;True;
Mockito;27b;0.076923;2;clear;0.000000;0;False;True;
Mockito;28b;0.500000;2;clear;0.000000;0;False;True;
Mockito;29b;0.500000;2;clear;0.000000;0;False;True;
Mockito;2b;0.005935;3;clear;0.000000;0;False;True;
Mockito;30b;0.100000;6;clear;0.100000;2;False;False;
Mockito;31b;0.250000;2;clear;0.000000;0;False;True;
Mockito;32b;0.066667;4;clear;0.066667;3;False;False;
Mockito;33b;0.125000;1;clear;0.000000;0;False;True;
Mockito;34b;0.166667;2;clear;0.166667;1;False;False;
Mockito;35b;0.018779;2;clear;0.018779;2;False;False;
Mockito;36b;0.019231;4;clear;0.000000;0;False;True;
Mockito;37b;0.031746;1;clear;0.000000;0;False;True;
Mockito;38b;0.047619;1;clear;0.000000;0;False;True;
Mockito;3b;0.857143;1;clear;0.857143;1;False;False;
Mockito;4b;0.076923;1;clear;0.000000;0;False;True;
Mockito;5b;0.500000;4;clear;0.500000;7;False;False;
Mockito;6b;1.000000;2;clear;0.000000;0;False;True;
Mockito;7b;1.000000;2;clear;0.000000;0;False;True;
Mockito;8b;0.040000;8;clear;0.000000;0;False;True;
Mockito;9b;0.750000;2;clear;0.000000;0;False;True;
