Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Time;10b;1.000000;2;clear;0.000000;0;False;True;
Time;11b;1.000000;10;clear;1.000000;9;False;False;
Time;12b;1.000000;4;clear;0.000000;0;False;True;
Time;13b;0.500000;4;clear;0.000000;0;False;True;
Time;14b;1.000000;1;clear;0.000000;0;False;True;
Time;15b;1.000000;1;clear;0.000000;0;False;True;
Time;16b;0.700000;2;clear;0.000000;0;False;True;
Time;17b;0.333333;2;clear;0.333333;7;False;False;
Time;18b;0.090909;1;clear;0.000000;0;False;True;
Time;19b;0.040000;5;clear;0.000000;0;False;True;
Time;1b;1.000000;1;clear;1.000000;3;False;False;
Time;20b;0.166667;3;clear;0.000000;0;False;True;
Time;22b;0.200000;2;clear;0.000000;0;False;True;
Time;23b;0.500000;2;clear;0.500000;4;False;False;
Time;24b;0.777778;4;clear;0.000000;0;False;True;
Time;25b;0.333333;5;clear;0.000000;0;False;True;
Time;26b;1.000000;5;clear;0.000000;0;False;True;
Time;27b;1.000000;7;clear;0.000000;0;False;True;
Time;2b;0.500000;1;clear;0.500000;3;False;False;
Time;3b;0.333333;4;clear;0.000000;0;False;True;
Time;4b;0.333333;2;clear;0.000000;0;False;True;
Time;5b;0.500000;1;clear;0.000000;0;False;True;
Time;6b;1.000000;7;clear;0.000000;0;False;True;
Time;7b;1.000000;4;clear;1.000000;2;False;False;
Time;8b;1.000000;1;clear;1.000000;1;False;False;
Time;9b;1.000000;2;clear;1.000000;1;False;False;
