Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc;FdpMaxDF
Chart;11b;0.062500;5;clear;0.062500;20;False;False;0.062500
Chart;12b;0.250000;4;clear;0.000000;0;False;True;0.250000
Chart;13b;1.000000;130;clear;1.000000;26;False;False;1.000000
Chart;14b;0.133333;4;clear;0.000000;0;False;True;0.133333
Chart;15b;1.000000;5;clear;0.000000;0;False;True;1.000000
Chart;16b;0.571429;4;clear;0.000000;0;False;True;0.571429
Chart;17b;0.500000;2;clear;0.000000;0;False;True;0.500000
Chart;18b;1.000000;14;clear;1.000000;4;False;False;1.000000
Chart;19b;1.000000;2;clear;1.000000;3;False;False;1.000000
Chart;1b;1.000000;3;clear;0.000000;0;False;True;1.000000
Chart;20b;0.007874;22;clear;0.007874;3;False;False;0.007874
Chart;21b;1.000000;5;clear;1.000000;8;False;False;1.000000
Chart;22b;1.000000;2;clear;1.000000;12;False;False;1.000000
Chart;23b;1.000000;7;clear;0.000000;0;False;True;1.000000
Chart;24b;0.100000;6;clear;0.000000;0;False;True;0.100000
Chart;25b;1.000000;33;clear;1.000000;53;False;False;1.000000
Chart;26b;1.000000;73;clear;1.000000;115;False;False;1.000000
Chart;2b;1.000000;5;clear;0.000000;0;False;True;1.000000
Chart;3b;0.333333;3;clear;0.333333;17;False;False;0.333333
Chart;4b;1.000000;3;clear;1.000000;2;False;False;1.000000
Chart;5b;0.500000;7;clear;0.000000;0;False;True;0.500000
Chart;7b;0.200000;10;clear;0.200000;4;False;False;0.200000
Chart;9b;0.500000;2;clear;0.000000;0;False;True;0.500000
Cli;10b;1.000000;1;clear;0.000000;0;False;True;1.000000
Cli;11b;1.000000;3;clear;1.000000;1;False;False;1.000000
Cli;12b;0.500000;6;clear;0.000000;0;False;True;0.500000
Cli;13b;1.000000;1;clear;1.000000;2;False;False;1.000000
Cli;14b;1.000000;1;clear;1.000000;2;False;False;1.000000
Cli;15b;1.000000;1;clear;1.000000;2;False;False;1.000000
Cli;16b;1.000000;1;clear;1.000000;2;False;False;1.000000
Cli;17b;1.000000;1;clear;1.000000;3;False;False;1.000000
Cli;18b;1.000000;2;clear;1.000000;3;False;False;1.000000
Cli;19b;1.000000;1;clear;0.000000;0;False;True;1.000000
Cli;1b;0.062500;2;clear;0.062500;6;False;False;0.062500
Cli;20b;0.500000;7;clear;0.000000;0;False;True;0.500000
Cli;21b;1.000000;1;clear;1.000000;2;False;False;1.000000
Cli;22b;0.400000;3;clear;0.000000;0;False;True;0.400000
